,se,freq
351,C0001883,3
352,C0740852,3
353,C0919569,3
354,C0857245,8
355,C0332579,3
356,C1142295,10
357,C0265101,1
358,C0740399,9
359,C0235318,2
360,C0920289,2
361,C0426498,4
362,C0041657,1
363,C0278134,1
364,C0857199,3
365,C1320835,1
366,C0008035,25
367,C0236082,3
368,C0239783,1
369,C0040485,3
370,C0546947,2
371,C0497201,1
372,C0239233,5
373,C0235218,1
374,C0278008,2
375,C0850060,1
376,C0263105,1
377,C0278147,2
378,C0026838,6
379,C0581879,4
380,C0236816,2
381,C0333244,1
382,C0234979,1
383,C0857056,6
384,C0085620,3
385,C0237849,2
386,C0853762,3
387,C0856133,6
388,C3251821,1
389,C0035258,3
390,C3495442,2
391,C0948396,5
392,C0231666,2
393,C0677600,4
394,C0277941,2
395,C0858277,2
396,C1740793,1
397,C0522046,4
398,C0240812,2
399,C3257803,1
400,C0040822 ,1
401,C0241165,5
402,C2004491,1
403,C0877113,1
404,C0006434,1
405,C0853895,1
406,C0231246,1
407,C0003564,1
408,C0917799,2
409,C0085641,2
410,C0037928,3
411,C0262397,2
412,C0700572,2
413,C0555120,3
414,C0235325,1
415,C0341164,1
416,C0548823,1
417,C0003467,5
418,C0003126,2
419,C0149793,1
420,C0410158,2
421,C0751564,2
422,C0520573,1
423,C0520559,1
424,C0240717,1
425,C0151610,1
426,C0040409,1
427,C0236068,1
428,C0549343,1
429,C0549391,1
430,C0033578,1
431,C0240811,1
432,C1096657,1
433,C0332573,1
434,C0235295,1
435,C0005858,1
436,C0596240,2
437,C0476280,1
438,C0948733,1
439,C0233565,1
440,C1096717,2
